role_id,position_description_id,legacy_mapping_pd_id,mapping_rank,mapping_code,mapping_name,mapping_level,mapping_validated,validation_notes,framework_code_valid
fb60d542-ded5-5479-97cf-664a17479a68,175,10188,1,1003001000,ADMINISTRATION,Sub-family,Yes,,1
fb60d542-ded5-5479-97cf-664a17479a68,175,10188,2,1026002000,PROGRAM/PROJECT AUXILLIARY AND SUPPORT,Sub-family,Yes,,1
951788f2-6a24-5ebe-9b4e-e8273848eede,176,10189,1,1002002000,FACULTY OPERATIONS,Sub-family,Yes,,1
e91b96da-a855-5c3d-a44b-4929529ac4fe,177,10190,1,1030006000,IT PROJECT MANAGEMENT,Sub-family,Yes,,1
8d180c07-b726-5493-a7f6-52f5fefacbbb,178,10191,1,1028002001,TEACHING AND ASSESSMENT,Specialisation,Yes,,1
84faeef3-99c2-5811-a388-e852680c5784,179,10192,1,1026001000,PROGRAM/PROJECT MANAGEMENT,Sub-family,Yes,,1
d724b68f-fc23-54a6-831b-bcf0e936c4b8,180,10193,1,1027002000,STORES AND LOGISTICS OPERATIONS,Sub-family,Yes,,1
27d266f7-5a54-5144-ba90-c56ac6ecfef1,181,10194,1,1005000000,CHANGE,Job Family,Yes,,1
282077e0-a44b-5b13-8f8d-113574cb727b,182,10196,1,1030008003,SERVICE MANAGEMENT PROCESS,Specialisation,,,1
f8c4e17c-4dde-519a-84f5-5a670a116672,183,10196,1,1030008003,SERVICE MANAGEMENT PROCESS,Specialisation,,,1
4394c3ab-a843-5688-84ea-e3cb7ab16785,184,10197,1,1002001000,CORPORATE AND SERVICE OPERATIONS,Sub-family,,,1
4394c3ab-a843-5688-84ea-e3cb7ab16785,184,10197,2,1000002000,REPORTING (SUB),Sub-family,,,1
2cd5ad50-9266-5c72-b05e-3ca61948afd9,185,10198,1,1024005000,MULTICULTURAL STUDENT SUPPORT,Sub-family,,,1
2cd5ad50-9266-5c72-b05e-3ca61948afd9,185,10198,2,1022002000,COMMUNITY ENGAGEMENT,Sub-family,,,1
